constraint,criterion,parameters,algorithm,value
"[[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]]",rotated_hyper_ellipsoid,x_2,true_result,0.6
"[[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]]",rotated_hyper_ellipsoid,x_3,true_result,0.0
"[[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]]",rosenbrock,x_1,true_result,
"[[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]]",rosenbrock,x_2,true_result,
"[[{'loc': ['x_1', 'x_2'], 'type': 'probability'}]]",rosenbrock,x_3,true_result,
"[[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]]",sum_of_squares,x_1,true_result,0.0
"[[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]]",sum_of_squares,x_2,true_result,0.0
"[[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]]",sum_of_squares,x_3,true_result,0.0
"[[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]]",trid,x_1,true_result,2.66666666
"[[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]]",trid,x_2,true_result,3.33
"[[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]]",trid,x_3,true_result,3.33
"[[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]]",rotated_hyper_ellipsoid,x_1,true_result,0.0
"[[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]]",rotated_hyper_ellipsoid,x_2,true_result,0.0
"[[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]]",rotated_hyper_ellipsoid,x_3,true_result,0.0
"[[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]]",rosenbrock,x_1,true_result,1.0
"[[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]]",rosenbrock,x_2,true_result,1.0
"[[{'loc': ['x_2', 'x_3'], 'type': 'increasing'}]]",rosenbrock,x_3,true_result,1.0
"[[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]]",sum_of_squares,x_1,true_result,0.0
"[[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]]",sum_of_squares,x_2,true_result,0.0
"[[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]]",sum_of_squares,x_3,true_result,0.0
"[[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]]",trid,x_1,true_result,
"[[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]]",trid,x_2,true_result,
"[[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]]",trid,x_3,true_result,
"[[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]]",rotated_hyper_ellipsoid,x_1,true_result,0.0
"[[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]]",rotated_hyper_ellipsoid,x_2,true_result,0.0
"[[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]]",rotated_hyper_ellipsoid,x_3,true_result,0.0
"[[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]]",rosenbrock,x_1,true_result,1.0
"[[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]]",rosenbrock,x_2,true_result,1.0
"[[{'loc': ['x_1', 'x_2'], 'type': 'decreasing'}]]",rosenbrock,x_3,true_result,1.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]]",sum_of_squares,x_1,true_result,0.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]]",sum_of_squares,x_2,true_result,0.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]]",sum_of_squares,x_3,true_result,0.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]]",trid,x_1,true_result,3.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]]",trid,x_2,true_result,3.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]]",trid,x_3,true_result,3.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]]",rotated_hyper_ellipsoid,x_1,true_result,0.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]]",rotated_hyper_ellipsoid,x_2,true_result,0.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]]",rotated_hyper_ellipsoid,x_3,true_result,0.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]]",rosenbrock,x_1,true_result,1.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]]",rosenbrock,x_2,true_result,1.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'equality'}]]",rosenbrock,x_3,true_result,1.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]]",sum_of_squares,x_1,true_result,0.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]]",sum_of_squares,x_2,true_result,0.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]]",sum_of_squares,x_3,true_result,0.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]]",trid,x_1,true_result,
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]]",trid,x_2,true_result,
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]]",trid,x_3,true_result,
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]]",rotated_hyper_ellipsoid,x_1,true_result,0.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]]",rotated_hyper_ellipsoid,x_2,true_result,0.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]]",rotated_hyper_ellipsoid,x_3,true_result,0.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]]",rosenbrock,x_1,true_result,1.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]]",rosenbrock,x_2,true_result,1.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'covariance'}]]",rosenbrock,x_3,true_result,1.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]]",sum_of_squares,x_1,true_result,0.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]]",sum_of_squares,x_2,true_result,0.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]]",sum_of_squares,x_3,true_result,0.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]]",trid,x_1,true_result,
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]]",trid,x_2,true_result,
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]]",trid,x_3,true_result,
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]]",rotated_hyper_ellipsoid,x_1,true_result,0.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]]",rotated_hyper_ellipsoid,x_2,true_result,0.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]]",rotated_hyper_ellipsoid,x_3,true_result,0.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]]",rosenbrock,x_1,true_result,1.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]]",rosenbrock,x_2,true_result,1.0
"[[{'loc': ['x_1', 'x_2', 'x_3'], 'type': 'sdcorr'}]]",rosenbrock,x_3,true_result,1.0
"[[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]]",sum_of_squares,x_1,true_result,1.33333333
"[[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]]",sum_of_squares,x_2,true_result,1.33333333
"[[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]]",sum_of_squares,x_3,true_result,0.0
"[[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]]",trid,x_1,true_result,1.185185185
"[[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]]",trid,x_2,true_result,1.4074074069999998
"[[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]]",trid,x_3,true_result,1.7037037030000002
"[[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]]",rotated_hyper_ellipsoid,x_1,true_result,0.57142857
"[[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]]",rotated_hyper_ellipsoid,x_2,true_result,1.71428571
"[[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]]",rotated_hyper_ellipsoid,x_3,true_result,0.0
"[[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]]",rosenbrock,x_1,true_result,
"[[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]]",rosenbrock,x_2,true_result,
"[[{'loc': ['x_1', 'x_2'], 'type': 'linear', 'weights': [1, 2], 'value': 4}]]",rosenbrock,x_3,true_result,
